ID,Total NDVI,Average NDVI,Image Name
1,455422,182.1688,Photo1_2023_02_10_13_00_37_NDVI.jpg
2,459932,183.9728,Photo1_2023_02_10_13_00_37_NDVI.jpg
3,456142,182.4568,Photo1_2023_02_10_13_00_37_NDVI.jpg
4,459547,183.8188,Photo1_2023_02_10_13_00_37_NDVI.jpg
5,459984,183.9936,Photo1_2023_02_10_13_00_37_NDVI.jpg
6,461679,184.6716,Photo1_2023_02_10_13_00_37_NDVI.jpg
7,462737,185.0948,Photo1_2023_02_10_13_00_37_NDVI.jpg
8,466852,186.7408,Photo1_2023_02_10_13_00_37_NDVI.jpg
9,457406,182.9624,Photo1_2023_02_10_13_00_37_NDVI.jpg
10,456304,182.5216,Photo1_2023_02_10_13_00_37_NDVI.jpg
1,456546,182.6184,Photo1_2023_02_10_15_00_36_NDVI.jpg
2,457321,182.9284,Photo1_2023_02_10_15_00_36_NDVI.jpg
3,457263,182.9052,Photo1_2023_02_10_15_00_36_NDVI.jpg
4,458553,183.4212,Photo1_2023_02_10_15_00_36_NDVI.jpg
5,461465,184.586,Photo1_2023_02_10_15_00_36_NDVI.jpg
6,462473,184.9892,Photo1_2023_02_10_15_00_36_NDVI.jpg
7,462342,184.9368,Photo1_2023_02_10_15_00_36_NDVI.jpg
8,467646,187.0584,Photo1_2023_02_10_15_00_36_NDVI.jpg
9,455851,182.3404,Photo1_2023_02_10_15_00_36_NDVI.jpg
10,457182,182.8728,Photo1_2023_02_10_15_00_36_NDVI.jpg
1,458881,183.5524,Photo1_2023_02_10_11_00_37_NDVI.jpg
2,454610,181.844,Photo1_2023_02_10_11_00_37_NDVI.jpg
3,455210,182.084,Photo1_2023_02_10_11_00_37_NDVI.jpg
4,455470,182.188,Photo1_2023_02_10_11_00_37_NDVI.jpg
5,456862,182.7448,Photo1_2023_02_10_11_00_37_NDVI.jpg
6,458245,183.298,Photo1_2023_02_10_11_00_37_NDVI.jpg
7,458899,183.5596,Photo1_2023_02_10_11_00_37_NDVI.jpg
8,459484,183.7936,Photo1_2023_02_10_11_00_37_NDVI.jpg
9,453112,181.2448,Photo1_2023_02_10_11_00_37_NDVI.jpg
10,452318,180.9272,Photo1_2023_02_10_11_00_37_NDVI.jpg
1,459350,183.74,Photo1_2023_02_10_10_00_38_NDVI.jpg
2,454366,181.7464,Photo1_2023_02_10_10_00_38_NDVI.jpg
3,453804,181.5216,Photo1_2023_02_10_10_00_38_NDVI.jpg
4,456925,182.77,Photo1_2023_02_10_10_00_38_NDVI.jpg
5,455075,182.03,Photo1_2023_02_10_10_00_38_NDVI.jpg
6,452606,181.0424,Photo1_2023_02_10_10_00_38_NDVI.jpg
7,455674,182.2696,Photo1_2023_02_10_10_00_38_NDVI.jpg
8,452776,181.1104,Photo1_2023_02_10_10_00_38_NDVI.jpg
9,451016,180.4064,Photo1_2023_02_10_10_00_38_NDVI.jpg
10,451075,180.43,Photo1_2023_02_10_10_00_38_NDVI.jpg
1,455111,182.0444,Photo1_2023_02_10_14_00_39_NDVI.jpg
2,456246,182.4984,Photo1_2023_02_10_14_00_39_NDVI.jpg
3,457074,182.8296,Photo1_2023_02_10_14_00_39_NDVI.jpg
4,458386,183.3544,Photo1_2023_02_10_14_00_39_NDVI.jpg
5,460751,184.3004,Photo1_2023_02_10_14_00_39_NDVI.jpg
6,460179,184.0716,Photo1_2023_02_10_14_00_39_NDVI.jpg
7,460827,184.3308,Photo1_2023_02_10_14_00_39_NDVI.jpg
8,465635,186.254,Photo1_2023_02_10_14_00_39_NDVI.jpg
9,456873,182.7492,Photo1_2023_02_10_14_00_39_NDVI.jpg
10,456926,182.7704,Photo1_2023_02_10_14_00_39_NDVI.jpg
1,456985,182.794,Photo1_2023_02_11_13_00_37_NDVI.jpg
2,460305,184.122,Photo1_2023_02_11_13_00_37_NDVI.jpg
3,461895,184.758,Photo1_2023_02_11_13_00_37_NDVI.jpg
4,460896,184.3584,Photo1_2023_02_11_13_00_37_NDVI.jpg
5,463361,185.3444,Photo1_2023_02_11_13_00_37_NDVI.jpg
6,463172,185.2688,Photo1_2023_02_11_13_00_37_NDVI.jpg
7,464283,185.7132,Photo1_2023_02_11_13_00_37_NDVI.jpg
8,468744,187.4976,Photo1_2023_02_11_13_00_37_NDVI.jpg
